treatm,week,co_ebook_1,co_sim_1,co_mcq_1,co_saq_1,co_esim_session_hours_1,co_emcq_session_hours_1,co_esaq_session_hours_1,co_simmcq_session_hours_1,co_simsaq_session_hours_1,co_mcsaq_session_hours_1,co_ebook_0,co_sim_0,co_mcq_0,co_saq_0,co_esim_session_hours_0,co_emcq_session_hours_0,co_esaq_session_hours_0,co_simmcq_session_hours_0,co_simsaq_session_hours_0,co_mcsaq_session_hours_0,co_fsaq_cumul_1,co_fmcq_cumul_1,co_ftotebook_pageviews_cumul_1,co_fhappy_deploym_cumul_1,co_fsaq_session_hours_cumul_1,co_fmcq_session_hours_cumul_1,co_febook_session_hours_cumul_1,co_fsim_session_hours_cumul_1,co_fsaq_cumul_0,co_fmcq_cumul_0,co_ftotebook_pageviews_cumul_0,co_fhappy_deploym_cumul_0,co_fsaq_session_hours_cumul_0,co_fmcq_session_hours_cumul_0,co_febook_session_hours_cumul_0,co_fsim_session_hours_cumul_0,co_fatar_ii_1,co_fatar_ii_0,cmcsaq_session_hours_1,csimsaq_session_hours_1,csimmcq_session_hours_1,cesaq_session_hours_1,cemcq_session_hours_1,cesim_session_hours_1,cmcsaq_session_hours_0,csimsaq_session_hours_0,csimmcq_session_hours_0,cesaq_session_hours_0,cemcq_session_hours_0,cesim_session_hours_0,acmcq_Cattempt_1,actotebook_pageviews_1,acsaq_session_hours_1,acmcq_session_hours_1,acebook_session_hours_1,acsim_session_hours_1,acmcq_Cattempt_0,actotebook_pageviews_0,acsaq_session_hours_0,acmcq_session_hours_0,acebook_session_hours_0,acsim_session_hours_0,sd_totebook_pageviews_cumul_1,sd_totebook_pageviews_cumul_0,sd_saq_cumul_1,sd_saq_cumul_0,sd_mcq_cumul_1,sd_mcq_cumul_0,sd_saq_session_hours_cumul_1,sd_saq_session_hours_cumul_0,sd_mcq_session_hours_cumul_1,sd_mcq_session_hours_cumul_0,sd_ebook_session_hours_cumul_1,sd_ebook_session_hours_cumul_0,sd_sim_session_hours_cumul_1,sd_sim_session_hours_cumul_0,sd_course_grade_1,sd_course_grade_0,sd_final_grade_exp_1,sd_final_grade_exp_0,sd_final_grade_1,sd_final_grade_0,sd_happy_deploym_cumul_1,sd_happy_deploym_cumul_0,av_totebook_pageviews_cumul_1,av_totebook_pageviews_cumul_0,av_saq_cumul_1,av_saq_cumul_0,av_mcq_cumul_1,av_mcq_cumul_0,av_saq_session_hours_cumul_1,av_saq_session_hours_cumul_0,av_mcq_session_hours_cumul_1,av_mcq_session_hours_cumul_0,av_ebook_session_hours_cumul_1,av_ebook_session_hours_cumul_0,av_sim_session_hours_cumul_1,av_sim_session_hours_cumul_0,av_course_grade_1,av_course_grade_0,av_final_grade_exp_1,av_final_grade_exp_0,av_final_grade_1,av_final_grade_0,av_happy_deploym_cumul_1,av_happy_deploym_cumul_0
"Male, no gender",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057954557,,,,,,0.079210356,,,,,,,,,,,,,,31.813541,43.399002,,,,,,,0.23070426,0.095613495,1.1761461,1.8320473,,,,,,,,,,,12.336735,16.86014,,,,,,,0.058242586,0.025869224,0.51679093,0.79889655,,,,,,,,,,
"Male, no gender",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032218248,,,0.16948387,0.17924607,,0.22261873,,,0.13749878,0.15642636,,,0.72196788,,0.014831309,0.70824128,,,0.65326995,,-0.48016223,0.76118994,,111.2976,115.90392,0.44545498,0.21923643,15.645267,8.6554594,0.12966596,0.0582253,0.69149137,0.23912236,3.4965155,4.6891761,,,,,,,,,,,91.362244,99.167831,0.081632651,0.034965035,4.6428571,2.3426573,0.022907428,0.010631876,0.16020839,0.064190134,3.082706,3.8446925,,,,,,,,,,
"Male, no gender",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.085944414,,,0.17727742,0.20890868,,0.060715623,,,0.17198668,0.18253437,,0.87738383,0.94604784,-1,0.95964181,0.92612845,,0.39979917,0.93599808,,0.53304189,0.92685854,,156.52515,165.48216,0.61347163,0.55158412,32.884899,30.562662,0.16127163,0.13786589,1.0659027,0.63361424,5.3662214,7.1650829,,,,,,,,,,,143.42346,163.16084,0.18367347,0.13986014,11.755102,9.6853151,0.035020974,0.029756228,0.30232599,0.20002346,5.2477098,6.7087321,,,,,,,,,,
"Male, no gender",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089403063,,,0.17964472,0.20575123,,-0.029351614,,,0.16286249,0.17185771,,0.88085252,0.97145844,0.99901378,0.97269416,0.94445091,,0.68938994,0.95890421,1,0.84791517,0.95592153,,180.01013,204.9856,0.75855494,0.62389469,52.744938,55.739014,0.17221537,0.1522861,1.4808085,0.97525138,6.822515,9.3755865,,,,,,,,,,,174.80103,208.37064,0.26530612,0.18181819,21.719387,18.748251,0.047514807,0.039782688,0.51413941,0.34542927,7.0443954,9.4482327,,,,,,,,,,
"Male, no gender",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0380533,0.23504356,0.28064197,0.19772659,0.23944075,0.30823019,-0.31770635,0.25656468,0.23739508,0.22107956,0.2023737,0.27933583,0.80929703,0.8591674,0.97581983,0.89065856,0.89129019,,0.90144074,0.95890319,0.53433341,0.85919225,0.95551622,,239.39624,275.51123,1.8416088,1.1854115,75.942879,69.633339,0.6737656,0.36103222,2.0136769,1.3183661,9.2110538,12.76149,10.905606,7.1733031,,,,,,,8612.873828158790,1001.555940468030,268.5051,295.79022,0.59183675,0.46153846,42.719387,33.384617,0.18655175,0.14068723,0.95331818,0.68758255,10.895214,13.485523,8.7897682,5.9466043,,,,,,,522,170
"Male, no gender",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074647658,0.21018204,0.28051651,0.18582122,0.24592313,0.30551651,-0.24954323,0.32837537,0.30638951,0.24820767,0.23093161,0.30720162,0.78192449,0.97305238,0.97507179,0.90429884,0.95889878,0.89003325,0.84788227,0.97324044,0.99127096,0.7931999,0.9786194,0.78091693,272.25586,312.63431,2.8186789,1.4690745,91.812004,87.335068,0.93506801,0.56958783,2.3943744,1.8863922,11.312838,14.639916,17.204887,12.030839,,,,,,,105301.4410053460,23823.55313659020,317.16327,354.25174,0.93877554,0.69230771,63.418365,56.314686,0.3025203,0.22462401,1.4449725,1.2736617,13.899014,16.594004,15.224209,11.544972,,,,,,,7277,3036.5
"Male, no gender",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20311737,0.16854243,0.22382472,0.1691038,0.21546796,0.26636147,-0.17048995,0.34945071,0.33782119,0.22982423,0.22888079,0.32931784,0.93516159,0.94790465,0.96736431,0.94444114,0.96463412,0.95669806,0.94299585,0.98506749,0.93730444,0.92967546,0.98170817,0.95176238,312.07886,339.11002,3.3038836,1.8892304,100.92104,102.42267,1.1050395,0.74480879,2.6987765,2.3445234,13.252394,16.393236,19.98711,14.769759,,,,,,,453600.2332584700,166990.1895123580,351.66327,387.26575,1.1326531,0.96503496,77.93367,72.678322,0.3738558,0.3061159,1.7348306,1.6801184,16.053301,18.795712,18.18829,14.502838,,,,,,,21264.5,10471.5
"Male, no gender",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15624245,0.16276063,0.21861655,0.20191039,0.23988341,0.26793528,-0.13507845,0.34730011,0.34307495,0.21464956,0.22937793,0.33525306,0.81545919,0.97814792,0.98784465,0.89365417,0.98168766,0.98404801,0.90915275,0.98010874,0.97337234,0.88700241,0.97149253,0.98326439,359.22244,389.79419,3.5219727,2.2699263,143.45276,137.01624,1.1581966,0.8058461,3.2601891,3.1464601,15.571333,19.6917,21.496283,16.335379,,,,,,,704010.3768876600,397902.6343512360,392.53061,439.16083,1.2959183,1.2937063,116.81633,106.23776,0.42222726,0.4055264,2.4676282,2.4402707,18.616852,22.456308,20.518337,16.824564,,,,,,,45149,30016
"Male, no gender",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080467373,0.14325832,0.21755537,0.22511752,0.26817641,0.28083602,-0.011747105,0.34445813,0.3438724,0.22073203,0.240463,0.33888024,0.90989453,0.9935841,0.99008232,0.94539577,0.98923808,0.99455249,0.83630657,0.9919973,0.86738157,0.8467617,0.98793489,0.99714786,379.13037,424.29379,4.140049,3.6402814,163.42361,190.7131,1.247786,1.2030183,3.7051518,4.2718716,16.836803,21.934595,22.003763,16.452499,,,,,,,964619.0058081140,614859.3466552690,417.41327,479.51749,1.6173469,1.8741258,150.27551,158.99301,0.53015476,0.60642451,3.1025105,3.5467803,20.446266,25.414125,21.433538,17.460226,,,,,,,88326.5,43736
"Male, no gender",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088222027,0.1333539,0.22513945,0.24524304,0.30121297,0.29341492,0.099133693,0.34109968,0.34838548,0.2448478,0.26819393,0.35473827,0.86194539,0.98291618,0.88736546,0.85963595,0.97530144,0.99802828,0.89447242,0.97706497,0.92877436,0.89507478,0.96547937,0.99235696,407.44537,493.46973,7.2024965,7.0999255,211.69266,244.93773,1.7355654,1.4562789,5.0160933,5.2348976,18.523602,25.425018,22.016415,16.277784,,,,,,,1249631.960682440,835662.3762209890,459.7092,552.4895,2.6275511,3.6993008,215.16837,244.38461,0.79459727,0.89053571,4.5886745,5.2110629,23.11282,30.384424,21.862286,18.00478,,,,,,,105527.5,45975
