week,treatm,Pres happy,No-Pres happy,Pres happy,No-Pres happy
1,"Male, no gender",,,,
2,"Male, no gender",,,,
3,"Male, no gender",,,,
4,"Male, no gender",,,,
5,"Male, no gender",1724.7083,5898.2444,5.5,0
6,"Male, no gender",24115.208,422659.08,894,1019
7,"Male, no gender",60580.375,4957948.6,5901.5,6796
8,"Male, no gender",111988.96,10844446,22389.5,26080
9,"Male, no gender",176184.54,16763231,42169,47548
10,"Male, no gender",243482.25,22698962,69105.5,76217
11,"Male, no gender",302458.08,27797996,87495,106786
1,"Male, gender",,,,
2,"Male, gender",,,,
3,"Male, gender",,,,
4,"Male, gender",,,,
5,"Male, gender",998.13636,2445.7542,0,0
6,"Male, gender",28206.273,25288.923,2984,658
7,"Male, gender",82324.455,73181.65,8777,5242
8,"Male, gender",182039.64,165679.78,25058.5,18298
9,"Male, gender",311383.05,416309.15,59072,42591
10,"Male, gender",449111.55,835454.29,91926.5,72387
11,"Male, gender",576935.32,1328764,128544,103124
1,"Female, no gender",,,,
2,"Female, no gender",,,,
3,"Female, no gender",,,,
4,"Female, no gender",,,,
5,"Female, no gender",1472.9565,4707.375,0,0
6,"Female, no gender",15032.609,49164.433,1014,1030
7,"Female, no gender",38225.565,263226.26,3086,4790.5
8,"Female, no gender",68441.522,1366280.2,5129,16272.5
9,"Female, no gender",106462.65,5735113.6,12752,34693
10,"Female, no gender",154808.65,12687971,33333,46921
11,"Female, no gender",217902.43,19445688,59894,60757
1,"Female, gender",,,,
2,"Female, gender",,,,
3,"Female, gender",,,,
4,"Female, gender",,,,
5,"Female, gender",2307.1304,4694.6221,0,0
6,"Female, gender",11855.739,26204.047,619,1117
7,"Female, gender",32955.957,67678.084,6230,8500
8,"Female, gender",72348.391,134625.47,9422,23534
9,"Female, gender",127204.43,230177.69,17318,48979
10,"Female, gender",190378.57,345500.67,21679,77474
11,"Female, gender",250384.3,458807.3,25417,102997
