treatm,week,gender,group,co_ebook,co_sim,co_mcq,co_saq,co_esim_session_hours,co_emcq_session_hours,co_esaq_session_hours,co_simmcq_session_hours,co_simsaq_session_hours,co_mcsaq_session_hours,co_fsaq_cumul,co_fmcq_cumul,co_ftotebook_pageviews_cumul,co_fhappy_deploym_cumul,co_fsaq_session_hours_cumul,co_fmcq_session_hours_cumul,co_febook_session_hours_cumul,co_fsim_session_hours_cumul,co_fatar_ii,cmcsaq_session_hours,csimsaq_session_hours,csimmcq_session_hours,cesaq_session_hours,cemcq_session_hours,cesim_session_hours,acmcq_Cattempt,actotebook_pageviews,acsaq_session_hours,acmcq_session_hours,acebook_session_hours,acsim_session_hours,sd_totebook_pageviews_cumul,sd_saq_cumul,sd_mcq_cumul,sd_saq_session_hours_cumul,sd_mcq_session_hours_cumul,sd_ebook_session_hours_cumul,sd_sim_session_hours_cumul,sd_course_grade,sd_final_grade_exp,sd_final_grade,sd_happy_deploym_cumul,av_totebook_pageviews_cumul,av_saq_cumul,av_mcq_cumul,av_saq_session_hours_cumul,av_mcq_session_hours_cumul,av_ebook_session_hours_cumul,av_sim_session_hours_cumul,av_course_grade,av_final_grade_exp,av_final_grade,av_happy_deploym_cumul,av_knowledge_cumul,sd_knowledge_cumul
"Male, no gender",1,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.057954557,NA,NA,NA,NA,NA,NA,NA,31.813541,NA,NA,NA,0.23070426,1.1761461,NA,NA,NA,NA,NA,12.336735,NA,NA,NA,0.058242586,0.51679093,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",2,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032218248,NA,NA,0.16948387,0.17924607,NA,NA,0.72196788,NA,0.014831309,0.70824128,NA,111.2976,0.44545498,15.645267,0.12966596,0.69149137,3.4965155,NA,NA,NA,NA,NA,91.362244,0.081632651,4.6428571,0.022907428,0.16020839,3.082706,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",3,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.085944414,NA,NA,0.17727742,0.20890868,NA,0.87738383,0.94604784,-1,0.95964181,0.92612845,NA,156.52515,0.61347163,32.884899,0.16127163,1.0659027,5.3662214,NA,NA,NA,NA,NA,143.42346,0.18367347,11.755102,0.035020974,0.30232599,5.2477098,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",4,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.089403063,NA,NA,0.17964472,0.20575123,NA,0.88085252,0.97145844,0.99901378,0.97269416,0.94445091,NA,180.01013,0.75855494,52.744938,0.17221537,1.4808085,6.822515,NA,NA,NA,NA,NA,174.80103,0.26530612,21.719387,0.047514807,0.51413941,7.0443954,NA,NA,NA,NA,NA,NA,NA
"Male, no gender",5,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0380533,0.23504356,0.28064197,0.19772659,0.23944075,0.30823019,0.80929703,0.8591674,0.97581983,0.89065856,0.89129019,NA,239.39624,1.8416088,75.942879,0.6737656,2.0136769,9.2110538,10.905606,NA,NA,NA,8612.873828,268.5051,0.59183675,42.719387,0.18655175,0.95331818,10.895214,8.7897682,NA,NA,NA,522,NA,NA
"Male, no gender",6,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.074647658,0.21018204,0.28051651,0.18582122,0.24592313,0.30551651,0.78192449,0.97305238,0.97507179,0.90429884,0.95889878,0.89003325,272.25586,2.8186789,91.812004,0.93506801,2.3943744,11.312838,17.204887,NA,NA,NA,105301.441,317.16327,0.93877554,63.418365,0.3025203,1.4449725,13.899014,15.224209,NA,NA,NA,7277,NA,NA
"Male, no gender",7,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.20311737,0.16854243,0.22382472,0.1691038,0.21546796,0.26636147,0.93516159,0.94790465,0.96736431,0.94444114,0.96463412,0.95669806,312.07886,3.3038836,100.92104,1.1050395,2.6987765,13.252394,19.98711,NA,NA,NA,453600.2333,351.66327,1.1326531,77.93367,0.3738558,1.7348306,16.053301,18.18829,NA,NA,NA,21264.5,NA,NA
"Male, no gender",8,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15624245,0.16276063,0.21861655,0.20191039,0.23988341,0.26793528,0.81545919,0.97814792,0.98784465,0.89365417,0.98168766,0.98404801,359.22244,3.5219727,143.45276,1.1581966,3.2601891,15.571333,21.496283,NA,NA,NA,704010.3769,392.53061,1.2959183,116.81633,0.42222726,2.4676282,18.616852,20.518337,NA,NA,NA,45149,NA,NA
"Male, no gender",9,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.080467373,0.14325832,0.21755537,0.22511752,0.26817641,0.28083602,0.90989453,0.9935841,0.99008232,0.94539577,0.98923808,0.99455249,379.13037,4.140049,163.42361,1.247786,3.7051518,16.836803,22.003763,NA,NA,NA,964619.0058,417.41327,1.6173469,150.27551,0.53015476,3.1025105,20.446266,21.433538,NA,NA,NA,88326.5,NA,NA
"Male, no gender",10,1,tau_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088222027,0.1333539,0.22513945,0.24524304,0.30121297,0.29341492,0.86194539,0.98291618,0.88736546,0.85963595,0.97530144,0.99802828,407.44537,7.2024965,211.69266,1.7355654,5.0160933,18.523602,22.016415,NA,NA,NA,1249631.961,459.7092,2.6275511,215.16837,0.79459727,4.5886745,23.11282,21.862286,NA,NA,NA,105527.5,NA,NA
"Male, no gender",11,1,tau_01,0.81987804,0.47032425,0.8016082,0.74982023,0.32689065,0.4292044,0.27017182,0.21209934,0.031488117,0.32693523,0.27762204,0.25769785,0.2254165,0.27618259,0.25049123,0.17807882,0.28673291,0.15675163,0.48269349,0.14085642,0.1330355,0.2092796,0.23177142,0.28501287,0.28175879,0.681822,0.97230893,0.85903823,0.80403066,0.96258003,0.99889898,457.62756,15.977669,263.02371,2.8003941,6.2875609,21.447033,21.942886,9.4597712,6.5013752,8.9894714,3444342.431,555.47961,9.8928576,433.2449,2.0541298,8.3074989,28.811563,22.18709,74.999214,43.517345,30.219387,129390,NA,NA
"Male, no gender",1,0,tau_00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079210356,NA,NA,NA,NA,NA,NA,NA,43.399002,NA,NA,NA,0.095613495,1.8320473,NA,NA,NA,NA,NA,16.86014,NA,NA,NA,0.025869224,0.79889655,NA,NA,NA,NA,NA,NA,NA
