parameter,LB,UB,
beta_star,0.9,0.99,0
rho_beta,0.6,0.9,1
sigma_beta,0.01,2,2
rho_es,0.01,0.99,3
sigma_es,0.01,2,4
delta,0.03,0.999,5
zeta_star,0.5,3,6
sigma_zeta,0.001,4,7
zeta_hstar,0.5,3,8
sigma_hzeta,0.001,3,9
alpha,0.0001,0.1,10
psi_E,0.0001,0.02,11
gamma_1,0.05,0.99,12
gamma_2,0.05,0.99,13
gamma_3,0.05,0.99,14
gamma_5,0.05,0.99,15
gamma_M,0.1,0.9,16
sigma_M,0.1,0.5,17
sigma_SAQ,0.1,0.6,18
kappa_1,0,2,19
kappa_2,-0.7,1,20
kappa_3,-0.7,1,21
d,0.1,0.3,22
varphi,3,6,23
varphi_sim,0.7,0.9,24
